Nome do artefato,Caminho,Linha e Coluna,Descrição da regra,Correlação RN MD,Descrição do gap,Não encontrado no código,Não encontrado no MD,BDD,Tipo de Regra,Nível de Criticidade,Status,Perfil,Contexto de Negócio
UserService,src/services/user.service.ts,111:111,Papel padrão 'USER' é atribuído na criação se nenhum outro for especificado,RN-010,,Não,Não,"Dado um novo cadastro de usuário, Quando nenhum papel é selecionado, Então o papel USER deve ser atribuído automaticamente",Segurança,Média,Implementado,Arrematante,Usuários
BidderService,src/services/bidder.service.ts,62:62,Validação Zod mandatória para atualização de perfil do bidder,RN-010,,Não,Não,"Dado uma requisição de atualização de perfil, Quando os dados não seguem o schema Zod, Então a atualização deve ser rejeitada",Segurança,Alta,Implementado,Arrematante,Bidder
SellerService,src/services/seller.service.ts,120:120,Garantir unicidade de nome/slug para comitentes por tenant,RN-001,,Não,Não,"Dado um comitente com nome 'X' no tenant 1, Quando tenta-se criar outro comitente 'X' no mesmo tenant, Então a operação falha",Integridade,Média,Implementado,Admin,Comitentes
JudicialProcessService,src/services/judicial-process.service.ts,116:116,Criação automática de comitente judicial ao vincular processo a uma vara sem comitente,RN-GAP-001,,Não,Não,"Dado um processo judicial vinculado a uma nova vara, Quando o processo é criado e a vara não tem comitente, Então um comitente judicial deve ser criado automaticamente",Automação,Média,Implementado,Admin,Processos Judiciais
CurrencyRatesService,src/services/currency-rates.service.ts,27:27,Busca de cotações em tempo real (USD/EUR) com base no BRL,RN-020.3,,Não,Não,"Dado que o sistema precisa exibir valores em outras moedas, Quando as taxas são solicitadas, Então o sistema deve buscar no provedor externo e normalizar",Integração,Baixa,Implementado,Sistema,Moedas
BidderService,src/services/bidder.service.ts,33:33,Criação automática de perfil de bidder no primeiro acesso se não existir,RN-019,,Não,Não,"Dado um usuário recém-criado, Quando acessa o dashboard do arrematante pela primeira vez, Então um perfil de bidder deve ser criado automaticamente",Ciclo de Vida,Baixa,Implementado,Arrematante,Bidder
RealtimeBidsService,src/services/realtime-bids.service.ts,39:39,Broadcast de eventos de lance via EventEmitter para integração com Socket.io,RN-REALTIME-001,,Não,Não,"Dado que um lance é validado pelo motor, Quando o evento é emitido, Então todos os ouvintes (webhooks/sockets) devem ser notificados",Tempo Real,Alta,Implementado,Sistema,Lances
LotRepository,src/repositories/lot.repository.ts,13:13,Filtragem de lotes por tenantId é mandatória em todas as buscas,RN-001,,Não,Não,"Dado uma busca por lotes, Quando o tenantId é fornecido, Então o resultado deve conter apenas lotes pertencentes àquele tenant",Multi-tenant,Bloqueante,Implementado,Sistema,Lotes
AuctionRepository,src/repositories/auction.repository.ts,30:30,Chamadas públicas permitem busca de leilão cross-tenant (sem tenantId),RN-001,,Não,Não,"Dado uma busca pública por ID de leilão, Quando o tenantId não é passado, Então o sistema deve localizar o leilão independente do tenant",Multi-tenant,Alta,Implementado,Sistema,Leilão
AuditService,src/services/audit.service.ts,33:33,Registro de auditoria manual para ações críticas não cobertas pela extensão automática,RN-009,,Não,Não,"Dado uma operação administrativa crítica, Quando o serviço de auditoria é chamado, Então um log com traceId e valores antigos/novos deve ser persistido",Auditoria,Alta,Implementado,Admin,Segurança
FipeService,src/services/fipe.service.ts,191:191,Cache de 30 dias para preços FIPE para reduzir latência e custos de API,RN-GAP-005,,Não,Não,"Dado uma consulta de preço FIPE já realizada, Quando a mesma marca/modelo é consultada em menos de 30 dias, Então o valor deve vir do cache local",Integração/Performance,Baixa,Implementado,Sistema,Veículos
FipeService,src/services/fipe.service.ts,226:226,Avaliação de veículos permite ajustes por quilometragem e estado de conservação,RN-GAP-005,,Não,Não,"Dado um veículo com km acima da média, Quando a avaliação é processada, Então o valor final deve sofrer depreciação proporcional",Financeiro,Média,Implementado,Arrematante,Veículos
InstallmentPaymentService,src/services/installment-payment.service.ts,33:33,Cálculo de juros (1.5% ao mês) aplicado em parcelamentos de arremate,RN-GAP-002,,Não,Não,"Dado um arremate de 1000 parcelado em 2x, Quando as parcelas são geradas, Então o valor total com juros deve ser 1030 (1.5% x 2)",Financeiro,Alta,Implementado,Arrematante,Financeiro
InstallmentPaymentService,src/services/installment-payment.service.ts,65:65,Validação mandatória de tenantId ao atualizar status de pagamento de parcelas,RN-001,,Não,Não,"Dado um pagamento do tenant A, Quando um usuário do tenant B tenta marcar como PAGO, Então o sistema deve bloquear o acesso",Segurança/Multi-tenant,Bloqueante,Implementado,Admin,Financeiro
DocumentService,src/services/document.service.ts,40:40,Upload de documento coloca o status em PENDING_ANALYSIS e dispara checagem de habilitação,RN-AD-007,,Não,Não,"Dado um usuário que envia um novo documento, Quando o upload é concluído, Então o status do documento deve ser PENDING_ANALYSIS e a regra de habilitação do usuário deve ser reavaliada",Elegibilidade,Alta,Implementado,Arrematante,Documentos
DocumentService,src/services/document.service.ts,65:65,Aprovação/Rejeição administrativa de documento reavalia habilitação do usuário,RN-AD-007,,Não,Não,"Dado um documento em análise, Quando o administrador aprova o documento, Então a habilitação do usuário deve ser reavaliada automaticamente",Elegibilidade,Alta,Implementado,Admin,Documentos
MediaEntityLinksService,src/services/media-entity-links.service.ts,20:20,Mapeamento reverso de mídias para identificar entidades vinculadas,RN-005,,Não,Não,"Dado um ID de mídia, Quando o serviço de links é chamado, Então deve retornar todas as entidades (Ativo, Leilão, etc) que usam essa mídia",Integridade,Baixa,Implementado,Admin,Mídia
AuctionStageService,src/services/auction-stage.service.ts,11:11,Gerenciamento de praças/etapas do leilão com descontos progressivos,RN-PRACA-001,,Não,Não,"Dado um leilão com 2 praças, Quando a segunda praça inicia, Então o desconto configurado deve ser aplicado ao lance mínimo inicial",Financeiro,Alta,Implementado,Sistema,Leilão
DirectSaleOfferService,src/services/direct-sale-offer.service.ts,42:42,Criação de ofertas de venda direta com publicId único (DSO-...),RN-021,,Não,Não,"Dado uma nova oferta de venda direta, Quando salva no banco, Então deve possuir um publicId no formato DSO-UUID",Integridade,Média,Implementado,Sistema,Venda Direta
LottingService,src/services/lotting.service.ts,33:33,Loteamento prioriza ativos com status DISPONIVEL para evitar duplicação,RN-AD-001,,Não,Não,"Dado um ativo já LOTEADO, Quando o serviço de loteamento busca ativos disponíveis, Então o ativo já loteado não deve aparecer por padrão",Filtragem/Integridade,Média,Implementado,Admin,Lotes
LottingService,src/services/lotting.service.ts,144:144,Alertas de loteamento para ativos ocupados ou sem avaliação,RN-GAP-001,,Não,Não,"Dado um ativo marcado como ocupado, Quando o snapshot de loteamento é gerado, Então um alerta de alta severidade deve ser incluído",UI/UX,Baixa,Implementado,Admin,Lotes
UserWinService,src/services/user-win.service.ts,11:11,Gerenciamento centralizado de arremates e integração com financeiro,RN-019,,Não,Não,"Dado um lote arrematado, Quando o vencedor é definido, Então o registro de UserWin deve ser criado para disparar o fluxo de cobrança",Financeiro,Alta,Implementado,Sistema,Arremates
AuctionActions,src/app/admin/auctions/actions.ts,33:33,Busca de leilões com conversão de BigInt para string para serialização segura,RN-012,,Não,Não,"Dado um leilão com ID BigInt, Quando os dados são enviados para o frontend via Server Action, Então o ID deve ser convertido para string",Integridade,Alta,Implementado,Sistema,Leilão
AuctionActions,src/app/admin/auctions/actions.ts,204:204,Atualização de leilão revalida caminhos /admin/auctions para atualizar cache,RN-014,,Não,Não,"Dado uma alteração em um leilão, Quando salva com sucesso, Então a lista administrativa de leilões deve ser atualizada via revalidatePath",UI/UX,Média,Implementado,Admin,Leilão
AuctionActions,src/app/admin/auctions/actions.ts,226:226,Título do leilão deve ter pelo menos 5 caracteres,RN-003,,Não,Não,"Dado um novo título de leilão, Quando o título tem menos de 5 caracteres, Então o sistema deve retornar erro de validação",Validação,Baixa,Implementado,Admin,Leilão
AuthActions,src/app/auth/actions.ts,65:65,Validação de tenant via header x-tenant-id no login,RN-001,,Não,Não,"Dado uma tentativa de login, Quando o tenantId não é passado explicitamente, Então o sistema deve extrair do header injetado pelo middleware",Segurança,Alta,Implementado,Sistema,Autenticação
AuthActions,src/app/auth/actions.ts,110:110,Login exige usuário existente e com senha cadastrada,RN-010,,Não,Não,"Dado um e-mail não cadastrado, Quando tenta login, Então o sistema deve retornar erro de credenciais inválidas",Segurança,Bloqueante,Implementado,Arrematante,Autenticação
AuthActions,src/app/auth/actions.ts,158:158,Sessão de login vincula usuário ao tenant específico,RN-001,,Não,Não,"Dado um login bem sucedido, Quando a sessão é criada, Então ela deve conter o tenantId do contexto atual",Multi-tenant,Bloqueante,Implementado,Arrematante,Autenticação
MapSearchLogic,src/app/map-search/map-search-logic.ts,27:27,Filtragem de datasets específicos para exibição no mapa,RN-MAP-001,,Não,Não,"Dado um parâmetro de dataset, Quando a lógica de mapa é processada, Então deve retornar apenas itens daquela categoria (lots, direct_sale, etc)",UI/UX,Baixa,Implementado,Arrematante,Busca por Mapa
SearchPage,src/app/search/page.tsx,113:113,Carregamento antecipado de categorias, comitentes e configurações para filtros,RN-SEARCH-001,,Não,Não,"Dado o carregamento da página de pesquisa, Quando montado o componente, Então os dados essenciais para filtros devem ser buscados via Promise.all",Performance,Média,Implementado,Arrematante,Busca Avançada
SearchPage,src/app/search/page.tsx,239:239,Filtragem client-side por categoria, faixa de preço, localização e comitente,RN-SEARCH-004,,Não,Não,"Dado uma lista de itens, Quando o usuário seleciona uma localização, Então a lista deve ser filtrada em tempo real para exibir apenas itens daquela região",UI/UX,Média,Implementado,Arrematante,Busca Avançada
SearchPage,src/app/search/page.tsx,281:281,Cálculo de deságio (%) para ordenação de lotes por maior oportunidade,RN-GAP-004,,Não,Não,"Dado um lote com avaliação de 1000 e preço de 600, Quando ordenado por deságio, Então o sistema deve calcular 40% de desconto para o ranking",Financeiro,Baixa,Implementado,Arrematante,Busca Avançada
AdminLayout,src/app/admin/layout.tsx,28:28,Acesso à área administrativa exige autenticação e permissões específicas,RN-010,,Não,Não,"Dado um usuário não logado, Quando tenta acessar /admin, Então deve ser redirecionado para o login",Segurança,Bloqueante,Implementado,Admin,Segurança
AdminLayout,src/app/admin/layout.tsx,34:34,Usuários autenticados sem permissões ADMIN_ACCESS_PERMISSIONS veem tela de erro,RN-010,,Não,Não,"Dado um Arrematante logado, Quando tenta acessar /admin, Então deve visualizar uma mensagem de acesso negado",Segurança,Alta,Implementado,Arrematante,Segurança
CheckoutActions,src/app/checkout/[winId]/actions.ts,52:52,Pagamento via cartão de crédito marca UserWin como PAGO imediatamente,RN-019,,Não,Não,"Dado um arremate pendente, Quando o usuário paga via cartão de crédito, Então o status do arremate deve mudar para PAGO",Financeiro,Alta,Implementado,Arrematante,Checkout
CheckoutActions,src/app/checkout/[winId]/actions.ts,62:62,Pagamento parcelado exige pelo menos 2 parcelas,RN-019,,Não,Não,"Dado uma tentativa de parcelamento, Quando o usuário seleciona apenas 1 parcela, Então o sistema deve retornar erro",Validação,Média,Implementado,Arrematante,Checkout
CheckoutActions,src/app/checkout/[winId]/actions.ts,70:70,Pagamento parcelado muda status para PROCESSANDO e gera parcelas no financeiro,RN-019,,Não,Não,"Dado um arremate pendente, Quando o usuário escolhe pagar em 3x, Então o status muda para PROCESSANDO e 3 registros de InstallmentPayment são criados",Financeiro,Alta,Implementado,Arrematante,Checkout
BidExpertCard,src/components/BidExpertCard.tsx,11:11,Obrigatoriedade de uso do BidExpertCard como dispatcher de cards,RN-002,,Não,Não,"Dado uma listagem de itens, Quando um card precisa ser renderizado, Então o desenvolvedor deve usar o BidExpertCard",Padrão de Código,Alta,Implementado,Sistema,Componentes
LotCard,src/components/cards/lot-card.tsx,174:174,Exibição de badge 'Oportunidade' se o deságio for maior ou igual a 40%,RN-GAP-004,,Não,Não,"Dado um lote com 45% de desconto, Quando o card é renderizado, Então o badge Oportunidade deve estar visível",Marketing,Média,Implementado,Arrematante,Marketing
LotCard,src/components/cards/lot-card.tsx,257:257,Calculadora de próximo lance mínimo exibida no card do lote,RN-PRACA-001,,Não,Não,"Dado um lote em aberto, Quando o card é visualizado, Então o valor do próximo lance aceitável deve ser exibido claramente",UI/UX,Baixa,Implementado,Arrematante,Lances
LotCard,src/components/cards/lot-card.tsx,278:278,Indicador de visualização social (Social Proof) baseado no contador de views,RN-GAP-003,,Não,Não,"Dado um lote com 100 visualizações, Quando o card é carregado, Então deve exibir '10 olhando agora'",Marketing,Baixa,Implementado,Arrematante,Marketing
AddressGroup,src/components/address-group.tsx,25:25,AddressGroup deve ser usado em todos os formulários com endereço,RN-004,,Não,Não,"Dado um formulário de cadastro de leiloeiro, Quando o endereço é solicitado, Então o componente AddressGroup deve ser utilizado",Padrão de Código,Alta,Implementado,Admin,Componentes
AddressGroup,src/components/address-group.tsx,45:45,Seleção de cidade é dependente da seleção prévia do estado,RN-004,,Não,Não,"Dado um formulário de endereço, Quando nenhum estado está selecionado, Então o seletor de cidades deve estar desabilitado",Validação/UX,Média,Implementado,Arrematante,Componentes
TimezoneLib,src/lib/timezone.ts,7:7,Uso obrigatório de funções de timezone para consistência de datas (São Paulo),RN-016,,Não,Não,"Dado uma data de encerramento de leilão, Quando processada pelo sistema, Então deve garantir o fuso horário de Brasília (São Paulo)",Configuração,Alta,Implementado,Sistema,Datas
Manifest,public/manifest.json,22:22,Atalhos do PWA permitem acesso rápido à criação e listagem de leilões,RN-013,,Não,Não,"Dado o app instalado no celular, Quando o usuário pressiona o ícone, Então deve ver opções para criar novo leilão",UI/UX,Baixa,Implementado,Admin,PWA
[MD-GAP],context/REGRAS_NEGOCIO_CONSOLIDADO.md,RN-025,Navegação hierárquica entre entidades relacionadas nas tabelas CRUD,RN-025,Links cruzados entre Auction/Lot/Asset/Processo ainda não totalmente implementados em todas as tabelas,Sim,Não,"Dado uma tabela de leilões, Quando o usuário clica no link de lotes, Então deve ser levado para a listagem de lotes filtrada",UX/Navegação,Média,Gap Identificado,Admin,CRUD
[MD-GAP],context/REGRAS_NEGOCIO_CONSOLIDADO.md,RN-AD-008,Notificação automática ao usuário quando seu lance é superado,RN-AD-008,Lógica de disparo de notificação de lance superado não encontrada no BidEngineV2,Sim,Não,"Dado um usuário com o maior lance, Quando outro usuário dá um lance superior, Então o primeiro deve receber uma notificação imediata",Transacional,Alta,Gap Identificado,Arrematante,Lances
[MD-GAP],context/REGRAS_NEGOCIO_CONSOLIDADO.md,RN-AD-004,Cálculo de comissão da plataforma deve ser centralizado e ler das configurações,RN-AD-004,Vários pontos no frontend ainda usam fallback fixo de 5% em vez de ler do PlatformSettings,Sim,Não,"Dado uma arrematação de 1000, Quando calculada a comissão de 5%, Então o valor deve ser 50 independente de fallbacks de código",Financeiro,Alta,Gap Identificado,Sistema,Financeiro
